ID	UniProtKB	KEGG ID	KO Number	GO terms	
HVAEP1.T000044.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000045.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
HVAEP1.T000046.1	P10272	POL_BAEVM	vg:22318531;		host cell late endosome membrane [GO:0044185]; host cell plasma membrane [GO:0020002]; host multivesicular body [GO:0072494]; membrane [GO:0016020]; viral nucleocapsid [GO:0019013]; aspartic-type endopeptidase activity [GO:0004190]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; structural constituent of virion [GO:0039660]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; proteolysis [GO:0006508]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]; virion assembly [GO:0019068]
HVAEP1.T000049.1	Q0R4F1	PIF1_XENLA	xla:734585;		mitochondrion [GO:0005739]; nucleus [GO:0005634]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; mitochondrial genome maintenance [GO:0000002]; telomere maintenance [GO:0000723]
HVAEP1.T000058.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000060.1	Q6NUC6	RC3H1_XENLA	xla:414495;		cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; RNA stem-loop binding [GO:0035613]; ubiquitin-protein transferase activity [GO:0004842]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to interleukin-1 [GO:0071347]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of mRNA catabolic process [GO:0061014]; post-transcriptional regulation of gene expression [GO:0010608]; protein polyubiquitination [GO:0000209]; regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900151]; regulation of T cell proliferation [GO:0042129]
HVAEP1.T000061.1	Q6DCP6	DYM_XENLA	xla:446892;		Golgi apparatus [GO:0005794]
HVAEP1.T000063.1	P0C090	RC3H2_MOUSE	mmu:319817;		cell surface [GO:0009986]; cytoplasmic stress granule [GO:0010494]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; P-body [GO:0000932]; DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA stem-loop binding [GO:0035613]; ubiquitin protein ligase activity [GO:0061630]; B cell homeostasis [GO:0001782]; limb development [GO:0060173]; lung alveolus development [GO:0048286]; lymph node development [GO:0048535]; multicellular organism growth [GO:0035264]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; post-embryonic development [GO:0009791]; post-transcriptional regulation of gene expression [GO:0010608]; protein polyubiquitination [GO:0000209]; regulation of gene expression [GO:0010468]; regulation of miRNA metabolic process [GO:2000628]; spleen development [GO:0048536]; T cell homeostasis [GO:0043029]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]; T follicular helper cell differentiation [GO:0061470]; ubiquitin-dependent protein catabolic process [GO:0006511]
HVAEP1.T000064.1	Q6NUC6	RC3H1_XENLA	xla:414495;		cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; RNA stem-loop binding [GO:0035613]; ubiquitin-protein transferase activity [GO:0004842]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to interleukin-1 [GO:0071347]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of mRNA catabolic process [GO:0061014]; post-transcriptional regulation of gene expression [GO:0010608]; protein polyubiquitination [GO:0000209]; regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900151]; regulation of T cell proliferation [GO:0042129]
HVAEP1.T000074.1	Q80SU7	GVIN1_MOUSE	mmu:100042856;		cytosol [GO:0005829]; nucleus [GO:0005634]; GTP binding [GO:0005525]
HVAEP1.T000075.1	Q80SU7	GVIN1_MOUSE	mmu:100042856;		cytosol [GO:0005829]; nucleus [GO:0005634]; GTP binding [GO:0005525]
HVAEP1.T000077.1	A0A345BJN8	CLZ9_COCLU			membrane [GO:0016020]; nucleic acid binding [GO:0003676]; transmembrane transporter activity [GO:0022857]
HVAEP1.T000078.1	Q9NBX4	RTXE_DROME			RNA-directed DNA polymerase activity [GO:0003964]; transposition, DNA-mediated [GO:0006313]
HVAEP1.T000084.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
HVAEP1.T000085.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000087.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000090.1	Q55DU7	GDT4_DICDI	ddi:DDB_G0270550;		membrane [GO:0016020]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]; regulation of developmental process [GO:0050793]
HVAEP1.T000095.1	Q5ZLC8	ANR52_CHICK	gga:426469;		T-tubule [GO:0030315]; protein localization to T-tubule [GO:0036371]; regulation of cardiac muscle contraction [GO:0055117]
HVAEP1.T000102.1	D3J163	VPYL_MEDTR	mtr:MTR_1g089180;		cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
HVAEP1.T000115.1	A0A345BJN8	CLZ9_COCLU			membrane [GO:0016020]; nucleic acid binding [GO:0003676]; transmembrane transporter activity [GO:0022857]
HVAEP1.T000117.1	P03934	TC1A_CAEEL			nucleus [GO:0005634]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA integration [GO:0015074]; transposition, DNA-mediated [GO:0006313]
HVAEP1.T000118.1	Q9DC07	LNEBL_MOUSE	mmu:74103;		stress fiber [GO:0001725]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; cytoskeletal protein binding [GO:0008092]; filamin binding [GO:0031005]; metal ion binding [GO:0046872]; tropomyosin binding [GO:0005523]; cardiac muscle thin filament assembly [GO:0071691]
HVAEP1.T000159.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
HVAEP1.T000183.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
HVAEP1.T000186.1	Q04202	TCB2_CAEBR			nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA integration [GO:0015074]; transposition, DNA-mediated [GO:0006313]
HVAEP1.T000191.1	Q5SVZ6	ZMYM1_HUMAN	hsa:79830;		nucleus [GO:0005634]; protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]
HVAEP1.T000194.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
HVAEP1.T000204.1	Q7M3K2	PELET_DROME			metal ion binding [GO:0046872]; P-element binding [GO:0003693]; transferase activity [GO:0016740]; transposase activity [GO:0004803]; DNA integration [GO:0015074]; transposition, DNA-mediated [GO:0006313]
HVAEP1.T000206.1	Q04202	TCB2_CAEBR			nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA integration [GO:0015074]; transposition, DNA-mediated [GO:0006313]
HVAEP1.T000217.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000224.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000228.1	P78317	RNF4_HUMAN	hsa:6047;		cytoplasm [GO:0005737]; microtubule end [GO:1990752]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; nuclear receptor coactivator activity [GO:0030374]; nucleosome binding [GO:0031491]; SUMO polymer binding [GO:0032184]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K11-linked ubiquitination [GO:0070979]; protein K48-linked ubiquitination [GO:0070936]; protein K6-linked ubiquitination [GO:0085020]; protein K63-linked ubiquitination [GO:0070534]; regulation of kinetochore assembly [GO:0090234]; regulation of spindle assembly [GO:0090169]; response to arsenic-containing substance [GO:0046685]
HVAEP1.T000232.1	P59046	NAL12_HUMAN	hsa:91662;		cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cellular response to cytokine stimulus [GO:0071345]; dendritic cell migration [GO:0036336]; ERK1 and ERK2 cascade [GO:0070371]; negative regulation of cytokine production [GO:0001818]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-1 production [GO:0032692]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of signal transduction [GO:0009968]; negative regulation of Toll signaling pathway [GO:0045751]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of MHC class I biosynthetic process [GO:0045345]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043281]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-18 production [GO:0032661]; signal transduction [GO:0007165]
HVAEP1.T000235.1	Q9VP61	ACSA_DROME	dme:Dmel_CG9390;		cytoplasm [GO:0005737]; acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; short-chain fatty acid-CoA ligase activity [GO:0031955]; acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; behavioral response to ethanol [GO:0048149]; fatty acid biosynthetic process [GO:0006633]; photoreceptor cell maintenance [GO:0045494]
HVAEP1.T000238.1	Q80SU7	GVIN1_MOUSE	mmu:100042856;		cytosol [GO:0005829]; nucleus [GO:0005634]; GTP binding [GO:0005525]
HVAEP1.T000240.1	Q80SU7	GVIN1_MOUSE	mmu:100042856;		cytosol [GO:0005829]; nucleus [GO:0005634]; GTP binding [GO:0005525]
HVAEP1.T000241.1	Q80SU7	GVIN1_MOUSE	mmu:100042856;		cytosol [GO:0005829]; nucleus [GO:0005634]; GTP binding [GO:0005525]
HVAEP1.T000242.1	Q9DC07	LNEBL_MOUSE	mmu:74103;		stress fiber [GO:0001725]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; cytoskeletal protein binding [GO:0008092]; filamin binding [GO:0031005]; metal ion binding [GO:0046872]; tropomyosin binding [GO:0005523]; cardiac muscle thin filament assembly [GO:0071691]
HVAEP1.T000261.1	O42342	SOX7_XENLA	xla:378665;		nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; cell differentiation [GO:0030154]; endoderm formation [GO:0001706]; heart development [GO:0007507]; negative regulation of Wnt signaling pathway [GO:0030178]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pronephros development [GO:0048793]
HVAEP1.T000273.1	Q6NUC6	RC3H1_XENLA	xla:414495;		cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; RNA stem-loop binding [GO:0035613]; ubiquitin-protein transferase activity [GO:0004842]; 3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to interleukin-1 [GO:0071347]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of mRNA catabolic process [GO:0061014]; post-transcriptional regulation of gene expression [GO:0010608]; protein polyubiquitination [GO:0000209]; regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900151]; regulation of T cell proliferation [GO:0042129]
HVAEP1.T000281.1	Q15291	RBBP5_HUMAN	hsa:5929;		histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; histone binding [GO:0042393]; transcription cis-regulatory region binding [GO:0000976]; cellular response to DNA damage stimulus [GO:0006974]; histone H3-K4 methylation [GO:0051568]; response to estrogen [GO:0043627]; transcription initiation-coupled chromatin remodeling [GO:0045815]
HVAEP1.T000293.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
HVAEP1.T000294.1	Q9VPH8	RBBP5_DROME	dme:Dmel_CG5585;		MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]; chromatin organization [GO:0006325]; histone H3-K4 methylation [GO:0051568]
HVAEP1.T000295.2	Q80SU7	GVIN1_MOUSE	mmu:100042856;		cytosol [GO:0005829]; nucleus [GO:0005634]; GTP binding [GO:0005525]
HVAEP1.T000301.1	Q5XGG3	PIHD2_XENTR	xtr:496498;		cytoplasm [GO:0005737]; R2TP complex [GO:0097255]; ribonucleoprotein complex [GO:1990904]; box C/D snoRNP assembly [GO:0000492]; rRNA processing [GO:0006364]
HVAEP1.T000303.1	Q6DCP6	DYM_XENLA	xla:446892;		Golgi apparatus [GO:0005794]
